排名,车型,销量,厂商,售价（万元）
1,宏光MINIEV,1,上汽通用五菱,3.28 - 6.98
2,轩逸,2,东风日产,9.98 - 17.49
3,宋PLUS新能源,3,比亚迪,15.28 - 21.68
4,秦PLUS,4,比亚迪,11.18 - 17.58
5,雷凌,5,广汽丰田,11.38 - 15.28
6,凯美瑞,6,广汽丰田,17.98 - 26.98
7,哈弗H6,7,长城汽车,9.89 - 15.70
8,汉,8,比亚迪,21.48 - 32.98
9,速腾,9,一汽-大众,13.35 - 16.59
10,海豚,10,比亚迪,10.28 - 13.08
11,长安CS75 PLUS,11,长安汽车,11.79 - 15.49
12,奔驰C级,12,北京奔驰,32.52 - 37.22
13,威兰达,13,广汽丰田,17.18 - 24.38
14,博越,14,吉利汽车,9.18 - 14.28
15,唐新能源,15,比亚迪,20.58 - 31.48
16,元PLUS,16,比亚迪,13.78 - 16.58
17,缤越,17,吉利汽车,7.58 - 11.98
18,宝马3系,18,华晨宝马,29.39 - 40.99
19,亚洲龙,19,一汽丰田,19.98 - 28.98
20,瑞虎8,20,奇瑞汽车,9.58 - 16.89
21,卡罗拉,21,一汽丰田,10.98 - 15.98
22,宝马5系,22,华晨宝马,42.89 - 55.19
23,朗逸,23,上汽大众,9.99 - 15.89
24,桑塔纳,24,上汽大众,8.79 - 11.28
25,宝骏530,25,上汽通用五菱,7.08 - 9.98
26,传祺M8,26,广汽乘用车,17.98 - 36.98
27,帝豪,27,吉利汽车,6.28 - 9.18
28,宝马X3,28,华晨宝马,39.28 - 47.98
29,雅阁,29,广汽本田,16.98 - 25.98
30,长安欧尚X5,30,长安汽车,6.99 - 10.99
31,零跑T03,31,零跑汽车,7.39 - 8.99
32,QQ冰淇淋,32,奇瑞新能源,3.99 - 4.99
33,星越L,33,吉利汽车,13.72 - 18.52
34,奔驰GLC,34,北京奔驰,40.25 - 47.12
35,长安CS55PLUS,35,长安汽车,9.29 - 12.19
36,奔奔E-Star,36,长安汽车,4.98 - 7.48
37,捷途X70,37,奇瑞汽车,8.69 - 15.59
38,瑞虎7,38,奇瑞汽车,8.39 - 14.98
39,小蚂蚁,39,奇瑞新能源,7.39 - 9.40
40,高尔夫,40,一汽-大众,12.98 - 22.98
41,思域,41,东风本田,11.99 - 16.99
42,昂科威,42,上汽通用别克,20.99 - 30.99
43,哪吒V,43,合众汽车,6.59 - 12.38
44,汉兰达,44,广汽丰田,25.88 - 34.88
45,T-ROC探歌,45,一汽-大众,15.89 - 20.49
46,逸动,46,长安汽车,7.29 - 10.39
47,长安UNI-V,47,长安汽车,10.89 - 13.19
48,AION Y,48,广汽埃安,13.76 - 18.98
49,本田CR-V,49,东风本田,16.98 - 27.68
50,探岳,50,一汽-大众,20.49 - 26.49
